name,category,sub_category,description,selling_price,discount_percentage,features,image_link
Slim Fit Stretch Jeans,Men,Trousers,Classic indigo jeans with 2% elastane for comfort and mobility,3990,15%,"Stretch, Comfort, Classic",https://imgs.search.brave.com/UlWWfV-xK3kh7Ifb0sRf7s_5UJpB3uPGVJQGlsADTDw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NzFMS0VkY3hzT0wu/anBn
Floral Wrap Dress,Women,Dresses,V-neck wrap dress with tie waist and midi length,4590,20%,"Floral, Feminine, Adjustable",https://imgs.search.brave.com/luWkWVaRogiVeok4GNnyCL6mnCEuSpiYaxRsR9pUVU0/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/ODFDOXVHQjE1dkwu/anBn
Leather Crossbody Bag,Women,Bags,Smooth leather crossbody with gold-tone hardware and inner zip pocket,5990,10%,"Luxe, Compact, Secure",https://imgs.search.brave.com/6I5sS24VnARhRjfW4x-uFnaAa0UOM2etXRzyjHlzyYE/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/cGFya2VyY2xheS5j/b20vY2RuL3Nob3Av/ZmlsZXMvQURBV0Ff/REJfMDcuanBnP2Ny/b3A9Y2VudGVyJmhl/aWdodD0xMDI2JnY9/MTcyMjI3NTYwMyZ3/aWR0aD0xMDI2
Organic Cotton T-shirt,Men,Shirts,Basic crew neck tee made from 100% organic cotton,1290,0%,"Eco-friendly, Soft, Versatile",https://imgs.search.brave.com/7iSersQk1IY3PyeAQBFCovziQaiRbOGEF5ByOzcMofI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly95ZXNm/cmllbmRzLmNvL2Nk/bi9zaG9wL2ZpbGVz/L2V0aGljYWwtc3Vz/dGFpbmFibGUtb3Jn/YW5pYy1jb3R0b24t/ZmFpcnRyYWRlLXVu/aXNleC10LXNoaXJ0/LXN0b3JteS13ZWF0/aGVyLWdyZXktNS5q/cGc_Y3JvcD1jZW50/ZXImaGVpZ2h0PTIw/NDcmdj0xNzQ1NTkx/NDYyJndpZHRoPTEz/NjU
Cashmere Blend Scarf,Women,Accessories,Oversized winter scarf in heathered grey (30% cashmere),3490,25%,"Warm, Luxurious, Neutral",https://imgs.search.brave.com/2kj_Ce7ygWhL-clbVZR0rlCjBI-CUxGMKfhnBbKM7Lg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZXMuc2VsZnJpZGdl/cy5jb20vaXMvaW1h/Z2Uvc2VsZnJpZGdl/cy9SMDQzODY2MThf/SEFSVkVTVF9BTFQw/MT9kZWZhdWx0SW1h/Z2U9UjA0Mzg2NjE4/X0hBUlZFU1RfTSYk/UExQX0FMTCQ
Velcro Sneakers,Kids,Shoes,Lightweight sneakers with reflective details for safety,1990,5%,"Practical, Safe, Durable",https://imgs.search.brave.com/2Lllnp4O9xJ0lqinehXmnNHVo_qkyWVqQTGj4PUmA1w/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tZWRp/YS5pc3RvY2twaG90/by5jb20vaWQvMTcz/ODI4NzY3L3Bob3Rv/L3dhbGtpbmctc2hv/ZXMuanBnP3M9NjEy/eDYxMiZ3PTAmaz0y/MCZjPWhOeUVBbHhK/WXlyd1VhRHNSRTZQ/ZzNBSDRiZHhWd2FV/WnF6UXpkQkhFMVU9
Tailored Wool Blazer,Men,Outerwear,Single-breasted blazer with peaked lapels (55% wool),8990,15%,"Sophisticated, Structured",https://imgs.search.brave.com/mUjbtzH7Gwt-d_BH-9uwPtgvTvcxKm9Y-fp43OOhl24/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS5tZW5zd2Vhcmhv/dXNlLmNvbS9pcy9p/bWFnZS9UTVcvVE1X/XzNYTjFfMjNfSk9F/X0pPU0VQSF9BQkJP/VURfU1VJVF9KQUNL/RVRTX1RBTl9DSEFN/QlJBWV9NQUlOP2lt/UG9saWN5PXBncC1z/bQ
Satin Slip Midi Dress,Women,Dresses,Bias-cut dress with adjustable spaghetti straps,4990,30%,"Elegant, Night-out, Flattering",https://imgs.search.brave.com/z1MuRvVOVMFtAHATFPnnPBLUz7m33xd2J6TSm3PfDlw/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9lbmRs/ZXNzcm9zZS5jb20v/Y2RuL3Nob3AvZmls/ZXMvSE4xMzI5RF9C/TEFDS18wMDEuanBn/P2Nyb3A9Y2VudGVy/JmhlaWdodD0xOTIw/JnY9MTc0ODg5ODk0/MCZ3aWR0aD0xMjgw
Linen Blend Shirt,Women,Tops,Relaxed fit shirt with French placket and rolled sleeve option,3790,10%,"Breathable, Casual, Wrinkle-free",https://imgs.search.brave.com/D4Inhc1RlQzEiUmS24do-QlBEvXPrKlxi4MHEnsLi_Y/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWFn/ZS5obS5jb20vYXNz/ZXRzL2htLzRmLzA0/LzRmMDRhMmE3YjA4/ZTJiODBmN2JhODJl/MTk5OWY1NDA3Y2Rh/NGYwMmYuanBnP2lt/d2lkdGg9MjE2MA
RFID-Blocking Wallet,Men,Accessories,Slim leather wallet with protected card slots,2790,0%,"Secure, Minimalist, Organized",https://imgs.search.brave.com/YtcCgdD50-3Y0Jin4IHXe0MtQs1cuce-jjN-BOUthlg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9oaXBz/LmhlYXJzdGFwcHMu/Y29tL3ZhZGVyLXBy/b2QuczMuYW1hem9u/YXdzLmNvbS8xNzIy/MjY0NDczLWJlbGxy/b3ktYXBleC1zbGlt/LXNsZS02NmE3YWI2/Yzc2ZmRkLmpwZz9j/cm9wPTAuNjc5eHc6/MC45MDV4aDswLjMx/MXh3LDAuMDgwM3ho/JnJlc2l6ZT05ODA6/Kg
